"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL","TSVALNF","TSVALCD","TSVCDREF","TSVCDVER"
"JWJEF","TS","1","","PARSMHPF","Parasite Reading HPFs","","NA","","",""
"JWJEF","TS","1","","GAMSMHPF","Gametocyte Reading HPFs","","NA","","",""
"JWJEF","TS","1","","MICROTYP","Microscopy Thick Smear WBC Type","","NA","","",""
"JWJEF","TS","1","","MICROWBC","Microscopy Assumed WBC","","NA","","",""
"SPSNX","TS","1","","ACTSUB","Actual Number of Subjects","3879","","","",""
"SPSNX","TS","1","","SEXPOP","Sex of Participants","BOTH","","C49636","CDISC","2019-06-28"
"SPSNX","TS","1","","AGEMAX","Planned Maximum Age of Subjects","P59M","","","ISO 8601",""
"SPSNX","TS","1","","AGEMIN","Planned Minimum Age of Subjects","P3M","","","ISO 8601",""
"SPSNX","TS","1","","HLTSUBJI","Healthy Subject Indicator","N","","C49487","CDISC","2022-12-17"
"SPSNX","TS","1","","TDIGRP","Diagnosis Group","Malaria","","61462000","SNOMED","2019-03-01"
"SPSNX","TS","1","","INDIC","Trial Disease/Condition Indication","Malaria","","61462000","SNOMED","2018-09-01"
"SPSNX","TS","1","","AEMETHD","Adverse Event Method Description","","UNK","","",""
"SPSNX","TS","1","SPAQ","ARMDESC","Arm Description","SPAQ - five monthly cycles of  SPAQ, consisting of a 3-day course, doses were given 28 days apart. drug. First administration observed by village health teams and final two doses given by caregivers.","","","",""
"SPSNX","TS","2","DP","ARMDESC","Arm Description","DHAPPQ  - five monthly cycles of  DHAPPQ, consisting of a 3-day course, doses were given 28 days apart. First administration observed by village health teams and final two doses given by caregivers.","","","",""
"SPSNX","TS","3","PER CLIN GUIDE","ARMDESC","Arm Description","Control - no SMC and will not receive any SPAQ, children in the control group received monthly visits from VHTs, who provided malaria prevention and treatment-seeking messaging and referred febrile children to health facilities for care.","","","",""
"SPSNX","TS","1","","COMPTRT","Comparative Treatment Name","","NA","","",""
"SPSNX","TS","1","","CURTRT","Current Therapy or Treatment","","NA","","",""
"SPSNX","TS","1","DP_ARTENIMOL","TRT","Investigational Therapy or Treatment","ARTENIMOL","","6A9O50735X","UNII",""
"SPSNX","TS","2","DP_PIPERAQUINE","TRT","Investigational Therapy or Treatment","PIPERAQUINE","","A0HV2Q956Y","UNII",""
"SPSNX","TS","3","SPAQ_SULFADOXINE","TRT","Investigational Therapy or Treatment","SULFADOXINE","","88463U4SM5","UNII",""
"SPSNX","TS","4","SPAQ_PYRIMETHAMINE","TRT","Investigational Therapy or Treatment","PYRIMETHAMINE","","Z3614QOX8W","UNII",""
"SPSNX","TS","5","SPAQ_AMODIAQUINE","TRT","Investigational Therapy or Treatment","AMODIAQUINE","","220236ED28","UNII",""
"SPSNX","TS","1","DP_ARTENIMOL","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"SPSNX","TS","2","DP_PIPERAQUINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"SPSNX","TS","3","SPAQ_SULFADOXINE","TTRGDOSE","Total Target Dose Mg/Kg","250-500","","","",""
"SPSNX","TS","4","SPAQ_PYRIMETHAMINE","TTRGDOSE","Total Target Dose Mg/Kg","12.5-25","","","",""
"SPSNX","TS","5","SPAQ_AMODIAQUINE","TTRGDOSE","Total Target Dose Mg/Kg","225-450","","","",""
"SPSNX","TS","1","DP_ARTENIMOL","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"SPSNX","TS","2","DP_PIPERAQUINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
